Provinsi,PT
ACEH,34.28
SUMATERA UTARA,26.8
SUMATERA BARAT,35.45
RIAU,27.28
JAMBI,24.12
SUMATERA SELATAN,19.17
BENGKULU,29.9
LAMPUNG,20.96
KEP. BANGKA BELITUNG,14.99
KEP. RIAU,19.13
DKI JAKARTA,24.6
JAWA BARAT,21.5
JAWA TENGAH,22.13
DI YOGYAKARTA,51.33
JAWA TIMUR,23.34
BANTEN,21.33
BALI,26.56
NUSA TENGGARA BARAT,28.52
NUSA TENGGARA TIMUR,27.8
KALIMANTAN BARAT,25.8
KALIMANTAN TENGAH,24.15
KALIMANTAN SELATAN,23.53
KALIMANTAN TIMUR,30.04
KALIMANTAN UTARA,20.72
SULAWESI UTARA,24.22
SULAWESI TENGAH,26.31
SULAWESI SELATAN,32.16
SULAWESI TENGGARA,30.03
GORONTALO,29.21
SULAWESI BARAT,23.49
MALUKU,38.2
MALUKU UTARA,32.1
PAPUA BARAT,31.92
PAPUA,24.57
